Name,MAC
HOTEL,b8:27:eb:13:42:99
TANGO,b8:27:eb:3c:80:c0
INK,b8:27:eb:be:d9:f7
SIERRA,b8:27:eb:9f:65:df
WHISKY,b8:27:eb:29:c9:75
NOVEMBER,b8:27:eb:cf:80:e3
BEER,b8:27:eb:29:4b:bd
OSCAR,b8:27:eb:e9:92:83
INDIA,b8:27:eb:c6:ed:41
UNCLE,b8:27:eb:75:3e:cb
UNIFORM,b8:27:eb:56:06:30
EDWARD,b8:27:eb:41:62:9a
ACE,b8:27:eb:bd:0a:e9
ROMEO,b8:27:eb:f7:d7:5b
ECHO,b8:27:eb:d8:00:90
LONDON,b8:27:eb:78:43:f8
WILLIAM,b8:27:eb:ad:19:22
KING,b8:27:eb:bf:ba:76
MONKEY,b8:27:eb:41:8b:7a
MIKE,b8:27:eb:e7:20:66
GOLF,b8:27:eb:e9:9a:8b
PAPA,b8:27:eb:ce:4c:76
COCO,b8:27:eb:89:92:e8
NUTS,b8:27:eb:48:97:5e
QUEBEC,b8:27:eb:9d:74:c5
JOHNNIE,b8:27:eb:e6:14:ba
KILO,b8:27:eb:4a:b3:87
LIMA,b8:27:eb:6e:d2:48
